"","variables","factor","loading"
"339","ksads_ptsd_raw_754_p","6",0.0410454206215196
"340","ksads_ptsd_raw_755_p","6",0.0175190095627434
"341","ksads_ptsd_raw_756_p","6",0.00415961006392121
"342","ksads_ptsd_raw_757_p","6",-0.0470545635104519
"343","ksads_ptsd_raw_766_p","6",0.106293528646952
"344","ksads_ptsd_raw_770_p","6",0.00633081213256085
"345","parent_monitor_q1_y","6",0.223245166780281
"346","parent_monitor_q2_y","6",0.188359867608342
"347","parent_monitor_q3_y","6",0.145530203240147
"348","parent_monitor_q4_y","6",-0.095009724660606
"349","parent_monitor_q5_y","6",0.116001270728187
"350","nsc_p_ss_mean_3_items","6",0.0345232127300853
"351","neighborhood_crime_y","6",0.133752619330463
"352","reshist_addr1_adi_wsum","6",0.101363633632064
"353","demo_prim_biosep","6",0.030136993600901
"354","demo_parent_sep","6",-0.0104065264307255
"355","ksads_ptsd_raw_758_759_760","6",0.048389156277082
"356","ksads_ptsd_raw_761_to_765","6",0.137010075913297
"357","ksads_ptsd_raw_767_768_769","6",0.00529146384596008
"358","demo_fam_exp1_5_v2","6",0.119694960475182
"359","demo_fam_exp6_7_v2","6",0.0672330985177186
"360","famhx_ss_moth_prob_alc_dg","6",0.0504461937588968
"361","famhx_ss_fath_prob_alc_p","7",0.549240696234922
"362","famhx_ss_fath_prob_dg_p","7",0.677238008805907
"363","asr_scr_anxdisord_r","7",-0.0026933310323826
"364","asr_scr_somaticpr_r","7",0.0980260542070264
"365","asr_scr_depress_r","7",0.0686196734384345
"366","asr_scr_avoidant_r","7",0.0354164950761464
"367","asr_scr_adhd_r","7",0.136008577125524
"368","asr_scr_antisocial_r","7",0.156041750790854
"369","demo_prnt_ed_v2","7",0.116769484266834
"370","demo_comb_income_v2","7",0.076194875390614
"371","crpbi_parent1_y","7",0.106197877371335
"372","crpbi_caregiver12_y","7",-0.0551955461637401
"373","crpbi_parent2_y","7",-0.00673294546759108
"374","crpbi_caregiver13_y","7",-0.0793830237274885
"375","crpbi_parent3_y","7",0.0477577577430115
"376","crpbi_caregiver14_y","7",-0.110665161498094
"377","crpbi_parent4_y","7",0.0578619620549724
"378","crpbi_caregiver15_y","7",-0.0566472314794606
"379","crpbi_parent5_y","7",0.0645169067821594
"380","crpbi_caregiver16_y","7",-0.0233993157381838
"381","fes_youth_q1","7",0.0457943496577874
"382","fes_youth_q2","7",0.0678081225758693
"383","fes_youth_q3","7",-0.0159410072094072
"384","fes_youth_q4","7",-0.00552724362632639
"385","fes_youth_q5","7",0.0423452521250091
"386","fes_youth_q6","7",-0.118262114405681
"387","fes_youth_q7","7",0.0131551937853924
"388","fes_youth_q8","7",0.00390763134964099
"389","fes_youth_q9","7",0.00467071772625815
"390","fam_enviro1_p","7",0.0707521663884408
"391","fam_enviro2r_p","7",0.0315245619520634
"392","fam_enviro3_p","7",0.0644069872775377
"393","fam_enviro4r_p","7",0.0173427003376014
"394","fam_enviro5_p","7",-0.0059317251842202
"395","fam_enviro6_p","7",0.0181583675202123
"396","fam_enviro7r_p","7",0.0704809304584591
"397","fam_enviro8_p","7",-0.0661845426633238
"398","fam_enviro9r_p","7",-0.00439998124939188
"399","ksads_ptsd_raw_754_p","7",0.0446495593505908
"400","ksads_ptsd_raw_755_p","7",0.0871725520484997
"401","ksads_ptsd_raw_756_p","7",-0.127700144940962
"402","ksads_ptsd_raw_757_p","7",0.00486357588576493
"403","ksads_ptsd_raw_766_p","7",0.417575634241939
"404","ksads_ptsd_raw_770_p","7",0.0675089209028249
"405","parent_monitor_q1_y","7",0.0112263605911622
"406","parent_monitor_q2_y","7",-0.0116098640505603
"407","parent_monitor_q3_y","7",0.00242532022642457
"408","parent_monitor_q4_y","7",-0.0278390247509166
"409","parent_monitor_q5_y","7",0.108385403482169
"410","nsc_p_ss_mean_3_items","7",0.0239669631355226
"411","neighborhood_crime_y","7",0.0465701317973621
"412","reshist_addr1_adi_wsum","7",0.0889617060555704
"413","demo_prim_biosep","7",0.70487470856864
"414","demo_parent_sep","7",0.223614426995065
"415","ksads_ptsd_raw_758_759_760","7",-0.00972707662897552
"416","ksads_ptsd_raw_761_to_765","7",0.241333960021482
"417","ksads_ptsd_raw_767_768_769","7",0.16102502526834
"418","demo_fam_exp1_5_v2","7",0.103040768844179
"419","demo_fam_exp6_7_v2","7",0.0805753494342922
"420","famhx_ss_moth_prob_alc_dg","7",0.783322655993263
